"title","genre","year","rating","ranking"
"The Dark Crystal: Age of Resistance","Adventure, Family, Fantasy",2019,8.5,88
"Queer Eye","Reality TV",2019,8.6,89
"Dirk Gently’s Holistic Detective Agency","Comedy, Fantasy",2017,8.3,90
"Narcos: Mexico","Crime, Drama",2018,8.4,91
"When Calls the Heart","Drama, Family, Romance",2016,8.1,92
"Erased","Action, Anime",2016,8.6,93
"Anne with an E","Drama",2018,8.5,94
"Code Geass: Lelouch of the Rebellion","Action, Anime",2006,8.6,95
"Borgen","Drama",2012,8.5,96
"Puffin Rock","Animation, Family",2016,9,97
"iZombie","Comedy, Crime, Drama",2017,7.8,98
"Derek","Comedy, Drama",2015,8,99
"Lilyhammer","Crime, Drama",2014,8,100
