"title","genre","year","rating","ranking"
"Black Mirror: Bandersnatch","Mystery, Sci-Fi, Thriller",2018,7.4,68
"Fauda","Action, Drama, Thriller",2015,8.2,69
"Top Boy","Crime, Drama, Thriller",2019,8.4,70
"Lupin","Action, Crime, Drama",2021,7.5,71
"El Camino: A Breaking Bad Movie","Action, Crime, Drama",2019,7.3,72
"Love and Monsters","Action, Adventure, Comedy",2021,7,73
"The Get Down","Drama, Music",2017,8.4,74
"The End of the F***ing World","Adventure, Comedy, Crime",2017,8.1,75
"Voltron: Legendary Defender","Animation, Family",2017,8.4,76
"Aunty Donna’s Big Ol’ House of Fun","Comedy",2020,8.8,77
"Don’t F**k with Cats: Hunting an Internet Killer","Crime, Documentary",2019,8.1,78
"Big Mouth","Animation, Comedy, Romance",2018,8,79
"Uncut Gems","Crime, Drama, Thriller",2020,7.4,80
"GLOW","Comedy, Drama, Sport",2019,8,81
"Nobel","Thriller",2016,8.3,82
"Atypical","Comedy, Drama",2018,8.3,83
"Mosul","Action, War",2020,7.3,84
"Santa Clarita Diet","Comedy, Horror",2019,7.8,85
"The Seven Deadly Sins","Anime",2016,8.3,86
"Carmen Sandiego","Animation, Family",2019,8.3,87
"Titans","Action, Adventure, Crime",2018,7.7,88
"Castlevania","Animation, Action, Adventure",2018,8.2,89
"The Serpent","Crime, Drama, Thriller",2021,7.7,90
"The Siege of Jadotville","Drama, War",2016,7.3,91
"13TH","Crime, Documentary",2016,8.2,92
"Unbreakable Kimmy Schmidt","Comedy",2019,7.6,93
"Love","Comedy, Drama, Romance",2017,7.7,94
"Chilling Adventures of Sabrina","Drama, Fantasy, Horror",2019,7.5,95
"Designated Survivor","Action, Drama, Mystery",2016,7.5,96
"American Vandal","Drama",2017,8.2,97
"Manhunt","Biography, Crime, Drama",2017,8.1,98
"Julie’s Greenroom","Family",2017,8.7,99
"If Anything Happens I Love You","Drama",2020,8.1,100
